Nome:,Termo 1:,Termo 2:,Termo 3:,Termo 4:,Termo 5:,Termo 6:,Termo 7:,Termo 8:,Termo 9:,Termo 10:,Termo 11:,Termo 12:,Termo 13:
participante#1,Sintomas de vício,jogos,games,videogames,efeitos,negativos,criança,pesquisa,viciados,azar,familia,estados unidos,alguns
Participante#2,família,crianças,sintomas de vício,jogos,videogames,games,pesquisa,viciados,efeito,negativo,azar,alguns,estados unidos
Participante#3,Games,Videogames,Crianças,Sintomas de Vícios ,Viciados,Efeitos,Games,Negativos ,Família,Azar,Pesquisa,Estados Unidos,Alguns
Participante#4,crianças,sintomas de vício,viciados,videogames,jogos,família,efeitos,negativos,games,azar,pesquisa,estados unidos,alguns
Participante#5,JOGOS,GAMES ,VIDEOGAMES,SINTOMAS DE VÍCIO,PESQUISA,AZAR,NEGATIVOS,ALGUNS,FAMÍLIA,EFEITOS,ESTADOS UNIDOS,CRIANÇAS ,VICIADOS
Participante#6,pesquisa,Estados Unidos,videogames,familia,negativos,sintomas do vício,crianças,viciados,alguns,efeitos,azar,amigos,divertidos
Participante#7,viciados,videogames,crianças,pesquisa,família,games,jogos,negativos,sintomas de vício,azar,efeitos,estados unidos,alguns
Participante#8,Pesquisa,efeitos,videogames,games,jogos,sintomas de vício,crianças,família,viciados,azar,alguns,negativos,estados unidos
Participante#9,videogames,sintomas de vício,crianças,família,efeitos,pesquisa,Estados Unidos,alguns,jogos,games,azar,negativos,viciados
Participante#10,games,jogos,negativos,viciados,videogames,alguns,sintomas de vício,pesquisa,família,estados unidos,crianças,efeitos,alzar
Participante#11,videogames,games,viciados,sintomas do vicio,crianças,familia,jogos,efeitos,negativos,azar,pesquisa,estados unidos,alguns
Participante#12,videogame,crianças,sintomas de vicio,pesquisa,estados unidos,familia,games,viciados,efeitos,negativos,jogos,azar,alguns
Participante#13,video games,viciados,sintomas de vício,crianças,pesquisa,estados unidos,efeitos,negativos,games,jogos,azar,família,alguns
Participante#14,games,videogames,jogos,efeitos,sintomas de vício,crianças,viciados,negativos,família,pesquisa,azar,estados unidos,alguns
Participante#15,sintomas de vicios,games,videogames,viciados,negativo,jogos,azar ,efeitos ,familia ,crianças ,estados unidos ,pesquisa, alguns
Participante#16,Sintomas de vicios,Video games,efeitos,Negativos,Crianças,jogos,azar,alguns,pesquisas,estados unidos,viciados,games,familia
