Nome:,Termo 1:,Termo 2:,Termo 3:,Termo 4:,Termo 5:,Termo 6:,Termo 7:,Termo 8:,Termo 9:,Termo 10:,Termo 11:,Termo 12:
participante#1,Informática na educação,Educação,Computação,multidisciplinaridade,conhecimento,áreas,práticas,diferentes,educacionais,brasileiro,hoje,inter
Participante#2,educação,informática na educação,áreas,conhecimento,computação,mundo,diferentes,distintas,vezes,deste,outros,cada
Participante#3,Educação,Informática na Educação,Computação,Conhecimento,Diferentes,Áreas,Distintas,Deste,Mundo,Cada,Vezes,Outros
Participante#4,Educação,Computação,Informática na Educação,diferentes,áreas,conhecimento,deste,mundo,distintas,cada ,vezes,outros
Participante#5,CONHECIMENTO,COMPUTAÇÃO,EDUCAÇÃO,INFORMÁTICA NA EDUCAÇÃO,VEZES ,OUTROS ,CADA,MUNDO,DESTA ,DISTINTAS,DIFERENTES,ÁREAS
Participante#6,informática na educação,computação,educação,mundo,conhecimento,áreas,vezes,diferentes,deste,mundo,distintas,outros
Participante#7,informática na educação,conhecimento,computação,educação,áreas,mundo,diferentes,distintas,cada,deste,vezes,outro
Participante#8,informática na educação,áreas,conhecimento,distintas,computação,educação,diferentes,cada,vezes,outros,deste,mundo
Participante#9,Informatica na educação,distintas,áreas,conhecimento,educação,computação,diferente,vezes,deste,cada,outros,mundo
Participante#10,computação,educação,conhecimento,vezes,diferentes,mundo,distintas,deste,áreas,informática na educação,outros,cada
Participante#11,diferentes,distintas,informatica na educação,areas,conhecimento,educação,computação,mundo,vezes,outros,cada,deste
Participante#12,informática na educação,educação,conhecimanto,computação,áreas,mundo,diferentes,distintas,outros ,vezes,cada,deste
Participante#13,informática na educação,computação,educação,áreas,conhecimento,mundo,diferentes,distintas,outros,vezes,cada,deste
Participante#14,informática na educação,educação,áreas,distintas,computação,conhecimento,diferentes,mundo,outros,vezes,deste,cada
Participante#15,Informática  na Educação,Computação,Educação,áreas,conhecimento,diferentes,distintas,mundos,deste,outros,vezes,cada
Participante#16,Informatica na educação,Conhecimento,Computação,Area,Educação,outros,cada,distintas,deste,vezes,diferentes,Mundo
